Individual: jf3119 ,30,1,4/7/20 9:56,772
CarmanToEC ,30,6,4/7/20 10:00,774
A&K2020 ,30,2,4/7/20 10:09,775
Suite2021 ,30,4,4/7/20 10:18,783
best group ,30,2,4/7/20 10:27,785
Physics Squad ,30,10,4/7/20 10:36,786
clairesfriends2020 ,30,6,4/7/20 10:45,788
senioritis ,30,6,4/7/20 10:54,789
Individual: jar2313 ,30,1,4/7/20 11:03,791
castle ,30,6,4/7/20 11:07,793
GiaRaneem ,30,2,4/7/20 11:16,796
Individual: ead2191 ,30,1,4/7/20 11:25,805
Individual: wvg2103 ,30,1,4/7/20 11:29,807
Individual: jr3751 ,30,1,4/7/20 11:33,808
Pooja'sGroupies ,30,6,4/7/20 11:37,809
Individual: sry2108 ,30,1,4/7/20 11:46,818
Abelian(nonP)-Group ,30,4,4/7/20 11:50,821
gracekelly ,30,2,4/7/20 11:59,822
Individual: ms5511 ,30,1,4/7/20 12:08,824
Individual: saw2218 ,30,1,4/7/20 12:12,826
Henri's Group ,30,6,4/7/20 12:16,828
seniors99 ,30,6,4/7/20 12:25,829
Individual: ayc2147 ,30,1,4/7/20 12:34,831
The Boys ,30,2,4/7/20 12:38,832
Individual: lhl2131 ,30,1,4/7/20 12:47,833
Individual: lr2755 ,30,1,4/7/20 12:51,841
Individual: cr2961 ,30,1,4/7/20 12:55,845
Individual: rsz2111 ,30,1,4/7/20 12:59,847
Get EC ,30,5,4/7/20 13:03,849
Individual: thc2126 ,30,1,4/7/20 13:12,854
punthaus ,30,5,4/7/20 13:16,855
palss ,30,2,4/7/20 13:25,856
Virginia ,30,2,4/7/20 13:34,857
<uwu> ,30,7,4/7/20 13:43,860
Neo Furnald 6 ,30,6,4/7/20 13:52,862
Individual: vjs2122 ,30,1,4/7/20 14:01,864
Individual: mfv2110 ,30,1,4/7/20 14:05,867
lacrosseseniors ,30,6,4/7/20 14:09,868
Individual: bb2763 ,30,1,4/7/20 14:18,869
survey monkeys ,30,6,4/7/20 14:22,870
Soccer Boys ,30,6,4/7/20 14:31,871
shenanigans ,30,6,4/7/20 14:40,873
Team Rocket ,30,4,4/7/20 14:49,879
Group ,30,2,4/7/20 14:58,881
wattshouldournamebe ,30,2,4/7/20 15:07,886
Vibes ,30,2,4/7/20 15:16,888
The Pajeenors ,30,9,4/7/20 15:25,890
SeniorMD ,30,2,4/7/20 15:34,899
SingleSZN ,30,2,4/7/20 15:43,903
AdventureTime ,30,3,4/7/20 15:52,907
6 BBs in Thee Suite ,30,6,4/7/20 16:01,910
Individual: jth2166 ,30,1,4/7/20 16:10,911
Individual: ew2574 ,30,1,4/7/20 16:14,912
EC 2020 ,30,5,4/7/20 16:18,915
Individual: clw2173 ,30,1,4/7/20 16:27,916
Individual: amb2414 ,30,1,4/8/20 9:00,918
Individual: jlj2173 ,30,1,4/8/20 9:04,919
Individual: aad2187 ,30,1,4/8/20 9:08,920
Individual: Mar2299 ,30,1,4/8/20 9:12,922
Individual: kn2427 ,30,1,4/8/20 9:16,924
gradient_descent ,30,2,4/8/20 9:20,925
Erica&Abi ,30,2,4/8/20 9:29,927
Individual: afa2135 ,30,1,4/8/20 9:38,928
Haushaus ,30,6,4/8/20 9:42,930
Individual: sc4131 ,30,1,4/8/20 9:51,931
wishforhogan ,30,5,4/8/20 9:55,932
Individual: ahs2174 ,30,1,4/8/20 10:04,933
Individual: vwk2105 ,30,1,4/8/20 10:08,938
EC 21! ,30,6,4/8/20 10:12,939
Andale ,30,2,4/8/20 10:21,940
Individual: aje2131 ,30,1,4/8/20 10:30,941
Ed Smith Sucks ,30,4,4/8/20 10:34,942
